name,expense_category,amount,entry_month,entry_day,entry_year,entry_date,description
Durango Giant,Auto Gas,20.01,10,3,2017,10/3/2017,Test Data
Durango Giant,Auto Gas,37,10,7,2017,10/7/2017,Test Data
Durango Giant,Auto Gas,15.01,10,16,2017,10/16/2017,Test Data
Exxon Durango,Auto Gas,20,10,19,2017,10/19/2017,Test Data
Durango Conoco,Auto Gas,20,10,26,2017,10/26/2017,Test Data
Exxon Durango,Auto Gas,10,10,28,2017,10/28/2017,Test Data
Durango Joe's,Eating Out,8.89,10,1,2017,10/1/2017,Test Data
Rice Monkey,Eating Out,13,10,1,2017,10/1/2017,Test Data
Steamworks,Eating Out,13,10,3,2017,10/3/2017,Test Data
Silver Bean,Eating Out,10,10,5,2017,10/5/2017,Test Data
Stonefish,Eating Out,34,10,6,2017,10/6/2017,Test Data
Tequilas,Eating Out,18,10,6,2017,10/6/2017,Test Data
Zia,Eating Out,9.36,10,7,2017,10/7/2017,Test Data
Irish Embassy,Eating Out,7,10,7,2017,10/7/2017,Test Data
Zia,Eating Out,9.36,10,9,2017,10/9/2017,Test Data
Silver Bean,Eating Out,10,10,11,2017,10/11/2017,Test Data
Irish Embassy,Eating Out,24,10,11,2017,10/11/2017,Test Data
Carver's,Eating Out,24,10,14,2017,10/14/2017,Test Data
Silver Bean,Eating Out,10,10,19,2017,10/19/2017,Test Data
Silver Bean,Eating Out,10,10,20,2017,10/20/2017,Test Data
Stonefish,Eating Out,18,10,20,2017,10/20/2017,Test Data
Zia,Eating Out,10,10,21,2017,10/21/2017,Test Data
The Farm,Eating Out,24,10,26,2017,10/26/2017,Dinner with Jamie
Durango Joe's,Eating Out,9,10,27,2017,10/27/2017,Test Data
Stonefish,Eating Out,16,10,27,2017,10/27/2017,Test Data
Oscar's,Eating Out,15,10,28,2017,10/28/2017,Test Data
Halloween Beer,Eating Out,14,10,29,2017,10/29/2017,Bar Hopping
Grassburger,Eating Out,14,10,29,2017,10/29/2017,Lunch with Chris
City Market,Groceries,71.92,10,1,2017,10/1/2017,Test Data
City Market,Groceries,59.37,10,8,2017,10/8/2017,Test Data
Mac's Liquor,Groceries,10,10,12,2017,10/12/2017,Test Data
Nature's Oasis,Groceries,93.95,10,14,2017,10/14/2017,Test Data
City Market,Groceries,5.92,10,15,2017,10/15/2017,Test Data
Nature's Oasis,Groceries,14,10,17,2017,10/17/2017,Test Data
Safeway Cortez,Groceries,7.81,10,19,2017,10/19/2017,Test Data
City Market,Groceries,42.79,10,22,2017,10/22/2017,Test Data
Mac's Liquor,Groceries,9.14,10,27,2017,10/27/2017,Test Data
City Market,Groceries,5.24,10,27,2017,10/27/2017,Test Data
City Market,Groceries,57.71,10,29,2017,10/29/2017,Test Data
Playstation Store Card,Health and Fun,50,10,1,2017,10/1/2017,Test Data
Four Corners Fitness,Health and Fun,55,10,2,2017,10/2/2017,Test Data
Maria's Bookshop,Health and Fun,17.25,10,6,2017,10/6/2017,Test Data
Durango Theater,Health and Fun,8,10,7,2017,10/7/2017,Test Data
MakerLab,Health and Fun,45,10,15,2017,10/15/2017,Test Data
MakerLab Class,Health and Fun,20,10,17,2017,10/17/2017,Electronics Class
Walmart,Health and Fun,20.09,10,30,2017,10/30/2017,Prop Materials
Ace Hardware,Home Improvement,22,10,7,2017,10/7/2017,Test Data
Car Wash,Vehicle,8,10,8,2017,10/8/2017,Test Data
Ace Hardware,Home Improvement,5,10,19,2017,10/19/2017,Test Data
